Data;Último;Abertura;Máxima;Mínima;Vol.;Var%
40909.00;5.5;4.7;7.2;4.6;3,21M;0.161
40940.00;4.9;5.5;6.2;3.9;2,84M;-0.1131
40969.00;4.9;4.9;5.4;4.3;1,76M;0
41000.00;4.9;4.9;5.5;4.6;1,66M;0
41030.00;5.2;4.9;5.2;4.8;1,24M;0.0465
41061.00;6.7;5.2;6.8;5.2;1,38M;0.2915
41091.00;9.4;6.7;9.7;6.4;1,90M;0.3976
41122.00;10.2;9.4;15.4;7.6;2,45M;0.0866
41153.00;12.4;10.2;12.7;9.7;959,78K;0.2205
41183.00;11.2;12.4;13.1;9.7;1,15M;-0.0968
41214.00;12.6;11.2;12.6;10.3;804,19K;0.1223
41244.00;13.5;12.6;13.9;12.4;876,92K;0.0748
41275.00;20.4;13.5;21.4;13.2;1,46M;0.5107
41306.00;33.4;20.4;34.5;18;1,58M;0.6355
41334.00;93;33.4;95.7;32.9;2,12M;1.787
41365.00;139.2;93;266;50;4,73M;0.4966
41395.00;128.8;139.2;140.1;79;2,07M;-0.0748
41426.00;97.5;128.8;130.1;88;1,05M;-0.2431
41456.00;106.2;97.5;111.7;65.4;1,14M;0.0892
41487.00;141;106.2;148.7;101;604,91K;0.3276
41518.00;141.9;141;148.9;121.3;451,29K;0.0064
41548.00;211.2;141.9;233.4;109.7;753,58K;0.4882
41579.00;1205.7;211.2;1241.9;209.7;1,13M;47.094
41609.00;805.9;1205.7;1239.9;454.9;920,80K;-0.3315
41640.00;938.8;805.9;1093.4;771;306,25K;0.1649
41671.00;573.9;938.8;969.2;91.7;996,35K;-0.3887
41699.00;444.7;573.9;695.4;262.8;94,27K;-0.2253
41730.00;445.6;444.7;549;355.7;161,16K;0.0022
41760.00;627.9;445.6;629;420.2;85,75K;0.409
41791.00;635.1;627.9;676.5;560.8;111,81K;0.0115
41821.00;589.5;635.1;652.5;564;107,22K;-0.0718
41852.00;481.8;589.5;608.2;450;126,17K;-0.1828
41883.00;388.2;481.8;498.5;372.6;295,62K;-0.1943
41913.00;337.9;388.2;407.7;294.9;569,00K;-0.1296
41944.00;374.9;337.9;480.5;319.8;711,11K;0.1097
41974.00;318.2;374.9;384.9;303.4;847,29K;-0.1512
42005.00;218.5;318.2;321.4;157.3;1,56M;-0.3134
42036.00;254.1;218.5;264.6;209.7;2,09M;0.1627
42064.00;244.1;254.1;301;234.8;2,97M;-0.039
42095.00;235.8;244.1;261.5;214.1;2,07M;-0.0343
42125.00;229.8;235.8;247.9;228.2;1,64M;-0.0252
42156.00;264.1;229.8;268.7;221;1,75M;0.1491
42186.00;283.7;264.1;315.9;243.2;1,86M;0.0742
42217.00;229.5;283.7;285.7;196.3;2,22M;-0.1912
42248.00;235.9;229.5;246.4;224.1;1,65M;0.0282
42278.00;311.2;235.9;334.9;234.7;2,28M;0.3192
42309.00;378;311.2;492.8;292.4;4,29M;0.2144
